Table 1
EDQUAT,EDAPN#,EDOLNM,EDOFNM,EDPADD,EDPSUT,EDUD53,EDUD48,EDUD47,EDUD74,,
C,50-43-43-26-00-001-0010-001,,,,,65000,65000,0,,,
C,50-43-43-26-00-001-0160-001,,,,,65800,65800,0,,,
C,50-43-43-26-00-001-0170-001,,,,,198383,198383,0,,,
C,50-43-43-34-00-005-0010-001,,,,,680700,680700,0,,,
C,50-43-43-34-00-005-0020-001,,,,,980775,980775,0,,,
C,50-43-44-02-00-001-0050-001,,,,,1128,1128,0,,,
C,50-43-44-02-10-001-0000-001,,,,,0,0,0,,,
C,50-43-44-02-11-000-0027-001,,,,,0,0,0,,,
C,50-43-44-10-00-004-0000-001,,,,,1140000,1140000,0,,,
C,50-43-44-10-00-005-0000-001,,,,,855000,855000,0,,,
C,50-43-44-11-03-000-1101-001,,,,,0,0,0,,,
C,50-43-44-11-03-000-1151-001,,,,,0,0,0,,,
C,50-43-44-11-03-000-1201-001,,,,,23171379,23171379,0,,,
C,50-43-44-11-03-000-1202-001,,,,,600000,600000,0,,,
C,50-43-44-11-03-000-1321-001,,,,,1980966,1980966,0,,,
C,50-43-44-11-03-110-0060-001,,,,,18,18,0,,,
C,50-43-44-11-07-000-0000-001,,,,,0,0,0,,,
M,50-43-43-14-10-004-0010-001,,,,,5501263,5501263,0,,,
M,50-43-43-14-10-004-0050-001,,,,,900357,900357,0,,,
M,50-43-43-14-10-004-0060-001,,,,,900243,900243,0,,,
M,50-43-43-14-10-005-0311-001,,,,,0,0,0,,,
M,50-43-43-14-12-000-0160-001,,,,,523600,523600,0,,,
M,50-43-43-14-12-000-0180-001,,,,,315000,315000,0,,,
M,50-43-43-14-13-000-0010-001,,,,,1219600,1219600,0,,,
M,50-43-43-14-13-000-0110-001,,,,,300000,300000,0,,,
M,50-43-43-14-29-001-0000-001,,,,,300,300,0,,,
M,50-43-43-14-29-002-0000-001,,,,,300,300,0,,,
M,50-43-43-14-29-003-0000-001,,,,,0,0,0,,,
M,50-43-43-14-29-007-0000-001,,,,,100,100,0,,,
M,50-43-43-15-00-001-0090-001,,,,,561984,561984,0,,,
M,50-43-43-15-00-004-0030-001,,,,,0,0,0,,,
M,50-43-43-15-05-000-0250-001,,,,,525000,525000,0,,,
M,50-43-43-15-07-000-0060-001,,,,,3117689,3117689,0,,,
M,50-43-43-15-08-000-0091-001,,,,,400000,400000,0,,,
M,50-43-43-15-08-000-0500-001,,,,,65000,65000,0,,,
M,50-43-43-15-09-000-0100-001,,,,,3014400,3014400,0,,,
M,50-43-43-15-10-000-0230-001,,,,,3865870,3865870,0,,,
M,50-43-43-15-36-000-0000-001,,,,,0,0,0,,,
M,50-43-43-22-00-000-1010-001,,,,,5979826,5979826,0,,,
M,50-43-43-22-00-001-0030-001,,,,,1483800,1483800,0,,,
M,50-43-43-22-00-002-0010-001,,,,,5682895,5682895,0,,,
M,50-43-43-22-00-002-0070-001,,,,,3022318,3022318,0,,,
M,50-43-43-22-00-002-0080-001,,,,,23564053,23564053,0,,,
M,50-43-43-22-00-003-0030-001,,,,,1003098,1003098,0,,,
M,50-43-43-22-00-003-0080-001,,,,,4854,4854,0,,,
M,50-43-43-22-00-003-0090-001,,,,,1656200,1656200,0,,,
M,50-43-43-22-00-003-0100-001,,,,,663680,663680,0,,,
M,50-43-43-22-00-003-0110-001,,,,,1270277,1270277,0,,,
M,50-43-43-22-00-003-0120-001,,,,,11934567,11934567,0,,,
M,50-43-43-22-00-003-0130-001,,,,,86427,86427,0,,,
M,50-43-43-22-01-002-0010-001,,,,,2800000,2800000,0,,,
M,50-43-43-22-05-000-0330-001,,,,,1000000,1000000,0,,,
M,50-43-43-22-08-000-6640-001,,,,,6908444,6908444,0,,,
M,50-43-43-22-24-003-0000-001,,,,,0,0,0,,,
M,50-43-43-22-24-009-0000-001,,,,,0,0,0,,,
M,50-43-43-22-31-000-0010-001,,,,,3888504,3888504,0,,,
M,50-43-43-22-31-000-1751-001,,,,,1004420,1004420,0,,,
M,50-43-43-22-31-000-1770-001,,,,,950340,950340,0,,,
M,50-43-43-22-31-000-1780-001,,,,,1469020,1469020,0,,,
M,50-43-43-22-31-000-2240-001,,,,,500,500,0,,,
M,50-43-43-23-00-001-0030-001,,,,,3023318,3023318,0,,,
M,50-43-43-23-01-000-0010-001,,,,,8791821,8791821,0,,,
M,50-43-43-23-05-001-0065-001,,,,,0,0,0,,,
M,50-43-43-23-05-005-0060-001,,,,,0,0,0,,,
M,50-43-43-23-05-005-0510-001,,,,,0,0,0,,,
M,50-43-43-23-05-005-0540-001,,,,,0,0,0,,,
M,50-43-43-23-05-007-0182-001,,,,,1383002,1383002,0,,,
M,50-43-43-23-05-008-0010-001,,,,,4830686,4830686,0,,,
M,50-43-43-23-05-010-0240-001,,,,,2308399,2308399,0,,,
M,50-43-43-23-05-011-0250-001,,,,,1872437,1872437,0,,,
M,50-43-43-23-05-011-0330-001,,,,,2658383,2658383,0,,,
M,50-43-43-23-05-012-0256-001,,,,,0,0,0,,,
M,50-43-43-23-05-012-0540-001,,,,,0,0,0,,,
M,50-43-43-23-05-015-0220-001,,,,,2649114,2649114,0,,,
M,50-43-43-23-05-016-0361-001,,,,,18000,18000,0,,,
M,50-43-43-23-05-020-0010-001,,,,,6969876,6969876,0,,,
M,50-43-43-23-05-020-0030-001,,,,,4095864,4095864,0,,,
M,50-43-43-23-05-020-0040-001,,,,,1922986,1922986,0,,,
M,50-43-43-23-05-021-0010-001,,,,,8517828,8517828,0,,,
M,50-43-43-23-05-021-0031-001,,,,,2872422,2872422,0,,,
